terminalPublicId,notes,manifold_height_max,isArchived,maxBeamM,description,berthCode,qmaxCapable,berthName,operator,qflexCapable,manifold_height_min,vapourReturnAvailable,typicalLoadingRateNotes,max_cargo_capacity,loadingArmsLngCount,archivedReason,maxLOAM,max_beam,manifoldLimitsNotes,loading_arms,maxArrivalDraftM,berth_number,fenders_type,lastVerifiedDate,archivedAt,max_draft,min_cargo_capacity,productTypeRefIds,max_loa,tenantId,maxCargoCapacityM3,maxArrivalDisplacementT,bollards_capacity,dataSource,publicId,berthType,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"ac8be6fe-4d54-470c-a2d8-6dbe64052e08","FSRU import terminal, limits to be verified","","false","","","Energas FSRU LNG Berth 1","false","Energas FSRU LNG Berth 1","","false","","","","","","","","","","","","Energas FSRU LNG Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","40e1879d-2268-4398-8124-83daf89f7e42","Jetty","Operational","697b417f8ba4f542fb52a1a1","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"3229740b-6b56-479b-be65-5a48f46bc089","Single LNG berth, demo data, dimensional limits to be verified","","false","","","Costa Azul LNG Berth 1","false","Costa Azul LNG Berth 1","","false","","","","","","","","","","","","Costa Azul LNG Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","3b86d27b-5510-47a5-9e64-56e29a8a67a0","Jetty","Operational","697b417f8ba4f542fb52a1a2","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4f0b7257-35af-4c5f-9fdb-1bfb8778d8c4","FSRU-based LNG import terminal, carrier limits to be verified","","false","","","Krk LNG FSRU Berth 1","false","Krk LNG FSRU Berth 1","","false","","","","","","","","","","","","Krk LNG FSRU Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","0e35899b-be05-4bbc-9492-0800d9cbb44e","Jetty","Operational","697b417f8ba4f542fb52a1a3","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4829275d-d689-48c2-a104-a711f3465163","Offshore gravity-based terminal, accepts mid-size to large LNGCs","","false","","","Adriatic LNG Offshore Berth 1","false","Adriatic LNG Offshore Berth 1","","false","","","","","","","","","","","","Adriatic LNG Offshore Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","217000","","","Demo seed, public sources","5bb863b3-8db0-47e0-bad9-49bd79ee5c12","SPM","Operational","697b417f8ba4f542fb52a1a4","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"c9b0279e-9b77-4d2b-9895-7444b3393f25","","","false","","","Swinoujscie LNG Berth 1","false","Swinoujscie LNG Berth 1","","false","","false","","217000","","","","","","","","Świnoujście LNG Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","217000","","","Demo seed, public sources","345df225-e2f0-4481-ad26-a23131f3ad7f","Jetty","Operational","697b417f8ba4f542fb52a1a5","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"f390f4d1-2434-4489-ac05-11bcc73b06c5","Two operational LNG berths, detailed dimensional limits to be verified","","false","","","South Hook LNG Berth 2","false","South Hook LNG Berth 2","","false","","","","","","","","","","","","South Hook LNG Berth 2","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","b1ab990c-1b5b-46c9-97f8-599d51175946","Jetty","Operational","697b417f8ba4f542fb52a1a6","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"f390f4d1-2434-4489-ac05-11bcc73b06c5","Two operational LNG berths, detailed dimensional limits to be verified","","false","","","South Hook LNG Berth 1","false","South Hook LNG Berth 1","","false","","","","","","","","","","","","South Hook LNG Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","b96f0a36-7bb9-4f39-b3fa-30af436e6dcd","Jetty","Operational","697b417f8ba4f542fb52a1a7","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"d5eb5b7f-6bb2-465e-a742-7dbf1109a3d6","","","false","","","Berth A (test)","false","Berth A (test)","","false","","false","","","","","","","","","","Berth A","","","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","","5b06a4b9-6d4f-4b2b-be58-4ec6317af835","","Inactive","697b417f8ba4f542fb52a1a8","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"c57b6321-67b0-4cbf-8689-ec457e650162","","","false","","","Ras Laffan LNG Berth 6","true","Ras Laffan LNG Berth 6","","true","","","","266000","","","","","Q-Max capable, demo values, detailed dimensional limits to be added later","","","Ras Laffan LNG Berth 6","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","266000","","","Demo seed, public sources","5b34e058-c3ad-46b3-a729-013112e10d12","Jetty","Operational","697b417f8ba4f542fb52a1a9","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"c57b6321-67b0-4cbf-8689-ec457e650162","","","false","","","Ras Laffan LNG Berth 5","true","Ras Laffan LNG Berth 5","","true","","","","266000","","","","","Q-Max capable, demo values, detailed dimensional limits to be added later","","","Ras Laffan LNG Berth 5","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","266000","","","Demo seed, public sources","5520a712-4ab7-42c7-be4d-8d7e7b0c8ede","Jetty","Operational","697b417f8ba4f542fb52a1aa","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"c57b6321-67b0-4cbf-8689-ec457e650162","","","false","","","Ras Laffan LNG Berth 4","true","Ras Laffan LNG Berth 4","","true","","","","266000","","","","","Q-Max capable, demo values, detailed dimensional limits to be added later","","","Ras Laffan LNG Berth 4","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","266000","","","Demo seed, public sources","df713ab9-5980-461e-b8b8-66cb9f43300c","Jetty","Operational","697b417f8ba4f542fb52a1ab","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"c57b6321-67b0-4cbf-8689-ec457e650162","","","false","","","Ras Laffan LNG Berth 3","true","Ras Laffan LNG Berth 3","","true","","","","266000","","","","","Q-Max capable, demo values, detailed dimensional limits to be added later","","","Ras Laffan LNG Berth 3","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","266000","","","Demo seed, public sources","2a738196-1976-458f-b8f0-58f107da9630","Jetty","Operational","697b417f8ba4f542fb52a1ac","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
