esdErcType,manifoldLngCount,manifoldSpacingPitch_mm,maxWaveHeight_m,loa_m,cargoContainmentType,fairleadChockPositionsNotes,vapourManifoldHeightMax_m,isActive,yearBuilt,sternLines,callSign,designDraft_m,mouldedDepthM,preferredFenderType,ownerCompanyId,lineType,tugRequirementsNotes,headLines,fenderPointLoadLimit_kN,tideRangeMax_m,manifoldVapourCount,vapourManifoldHeightMin_m,ercManufacturerModel,lngManifoldHeightMax_m,tideRangeMin_m,fenderContactZone,maxLoadingRate_m3ph,classSocietyCompanyId,image_url,springsForward,flagCountryId,beam_m,chockType,ntItc69,springsAft,mooringLinesTotal,name,manifoldToBow_m,maxDraft_m,berthingSideSupported,lngManifoldHeightMin_m,operatorCompanyId,status,dwt,mmsi,airDraft_m,shipyard,vesselTypeRefPublicId,shellPlatingRestrictions,summerDraftM,maxWindAlongside_kn,maxWindBerthing_kn,lineMBL_kN,manifoldToStern_m,mooringWinches,depth_m,vesselInternalId,classSocietyCompanyPublicId,width_m,lbpM,flagCountryPublicId,breastLinesAft,udf02,udf01,flangeRating,ownerCompanyPublicId,displacementSummer_t,breadthMouldedM,operatorCompanyPublicId,gt,vapourReturnSupported,maxDischargeRate_m3ph,vesselTypeRefId,classNotation,maxCurrentAlongside_kn,imoNumber,tenantId,breastLinesForward,brakeHoldingCapacity_kN,publicId,cargoCapacity_m3,flangeSizeLng_in,id,created_date,updated_date,created_by_id,created_by,is_sample
"","","","","315","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","50.05","","","","","Al Hamla","","","","","","Active","107514","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Flex","","","","","","136410","","","550e8400-e29b-41d4-a716-446655440002","","","9337743","global","","","550e8400-e29b-41d4-a716-446655770008","216200","","697b569b2a72857c481dc4f6","2026-01-29T12:46:19.919000","2026-03-12T17:24:08.972000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345.28","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","53.83","","","","","Bu Samra","","","","","","Active","130442","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Max","","","","","","163922","","","550e8400-e29b-41d4-a716-446655440003","","","9388833","global","","","550e8400-e29b-41d4-a716-446655770021","266000","","697b569b2a72857c481dc4f7","2026-01-29T12:46:19.919000","2026-03-12T17:24:09.662000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","50.03","","","","","Lijmiliya","","","","","","Active","155159","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","DSME Q-Max","","","","","","168189","","","550e8400-e29b-41d4-a716-446655440003","","","9388819","global","","","550e8400-e29b-41d4-a716-446655770023","263300","","697b569b2a72857c481dc4f8","2026-01-29T12:46:19.919000","2026-03-12T17:24:10.674000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","225.28","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","36.6","","","","","Shivalik","","","","","","Active","54534","","","Hyundai Heavy Industries","550e8400-e29b-41d4-a716-446655440001","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","HHI VLGC","","","","","","47058","","","550e8400-e29b-41d4-a716-446655440001","","","9356892","global","","","550e8400-e29b-41d4-a716-446655770001","82419","","697b569b2a72857c481dc4f9","2026-01-29T12:46:19.919000","2026-03-12T17:24:11.603000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","225","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","36.6","","","","","Umm Laqhab","","","","","","Active","54538","","","Hyundai Heavy Industries","550e8400-e29b-41d4-a716-446655440001","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","HHI VLGC","","","","","","47058","","","550e8400-e29b-41d4-a716-446655440001","","","9359454","global","","","550e8400-e29b-41d4-a716-446655770002","82408","","697b569b2a72857c481dc4fa","2026-01-29T12:46:19.919000","2026-03-12T17:24:12.271000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315.06","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","50.03","","","","","Al Ghashamiya","","","","","","Active","108988","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Flex","","","","","","135423","","","550e8400-e29b-41d4-a716-446655440002","","","9397286","global","","","550e8400-e29b-41d4-a716-446655770015","217591","","697b569b2a72857c481dc4fb","2026-01-29T12:46:19.919000","2026-03-12T17:24:12.907000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arctic Spirit","","","","","","Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","695caa88496e8c0f303b5ff3","","","","default-tenant","","","7e6fd162-b2ae-41d1-8f78-3349a21a3c21","","","697b569b2a72857c481dc4fc","2026-01-29T12:46:19.919000","2026-01-29T12:46:19.919000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"TEST_ESD","999","999","999","","TEST_CONT_TYPE","TEST_MOORING_NOTES","999","true","","999","TEST_CALL_SIGN","999","999","TEST_PREF_FENDER","","TEST_LINE_TYPE","TEST_ENV_NOTES","999","999","999","999","999","TEST_ERC","","999","TEST_CONTACT_ZONE","999","695bd2fc4518ddae578fa441","","999","6953a8d314d9fb17da981871","","TEST_CHOKE","999","999","999","LNG Pioneer","999","","","999","","Active","121730","TEST_MMSI","999","TEST_SHIPYARD","","TEST_FENDER_NOTES","999","999","999","999","999","999","999","INT_ID","","50","999","","999","","HHI Q-Flex","TEST_FLANGE_RATING","","999","999","","137535","true","999","695caa88496e8c0f303b5fec","TEST_CLASS_NOTATION","999","","default-tenant","999","999","2a3fa866-fd88-47e2-b4a4-71896c90faa3","","TEST_FLANGE_SIZE","697b569b2a72857c481dc4fd","2026-01-29T12:46:19.919000","2026-01-29T12:46:19.919000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","","","","","true","","","","","","","","","","","","","","","","","","","","6962ad835f47bc3d0bc4ac19","","","","","","","","","Pacific Voyager","","","","","","Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default-tenant","","","2d0a9f7d-5521-4475-950c-38676ee0c764","","","697b569b2a72857c481dc4fe","2026-01-29T12:46:19.919000","2026-01-29T12:46:19.919000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","283","","","","true","2007","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550002","43.4","","","","","Ejnan","","","","","","Active","78403","","","","550e8400-e29b-41d4-a716-446655440004","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550002","","","Conventional","","","","","","95824","","","550e8400-e29b-41d4-a716-446655440004","","","9334076","global","","","550e8400-e29b-41d4-a716-446655770068","145000","","697b569b2a72857c481dc4ba","2026-01-29T12:46:19.918000","2026-03-12T17:24:13.564000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","285.4","","","","true","2007","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550003","43.4","","","","","Maran Gas Coronis","","","","","","Active","79576","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440004","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550003","","","Conventional","","","","","","97491","","","550e8400-e29b-41d4-a716-446655440004","","","9331048","global","","","550e8400-e29b-41d4-a716-446655770060","145700","","697b569b2a72857c481dc4bb","2026-01-29T12:46:19.918000","2026-03-12T17:24:14.227000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","294.2","","","","true","2013","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550004","44.03","","","","","Woodside Rogers","","","","","","Active","90327","","","Hyundai Heavy Industries","550e8400-e29b-41d4-a716-446655440004","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550004","","","Conventional","","","","","","103928","","","550e8400-e29b-41d4-a716-446655440004","","","9627485","global","","","550e8400-e29b-41d4-a716-446655770074","159800","","697b569b2a72857c481dc4bc","2026-01-29T12:46:19.918000","2026-03-12T17:24:14.854000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2007","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550002","50","","","","","Al Ruwais","","","","","","Active","121823","","","","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550002","","","Q-Flex","","","","","","137535","","","550e8400-e29b-41d4-a716-446655440002","","","9337951","global","","","550e8400-e29b-41d4-a716-446655770049","210150","","697b569b2a72857c481dc4bd","2026-01-29T12:46:19.918000","2026-03-12T17:24:15.462000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2007","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550002","50","","","","","Al Safliya","","","","","","Active","121963","","","","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550002","","","Q-Flex","","","","","","137535","","","550e8400-e29b-41d4-a716-446655440002","","","9337963","global","","","550e8400-e29b-41d4-a716-446655770050","210150","","697b569b2a72857c481dc4be","2026-01-29T12:46:19.918000","2026-03-12T17:24:17.048000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","53.83","","","","","Rasheeda","","","","","","Active","130208","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Max","","","","","","163922","","","550e8400-e29b-41d4-a716-446655440003","","","9443413","global","","","550e8400-e29b-41d4-a716-446655770032","266000","","697b569b2a72857c481dc4bf","2026-01-29T12:46:19.918000","2026-03-12T17:24:17.845000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","289","","","","true","2015","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550003","45.6","","","","","Maran Gas Sparta","","","","","","Active","90392","","","","550e8400-e29b-41d4-a716-446655440004","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550003","","","Conventional","","","","","","105773","","","550e8400-e29b-41d4-a716-446655440004","","","9650042","global","","","550e8400-e29b-41d4-a716-446655770065","159800","","697b569b2a72857c481dc4c0","2026-01-29T12:46:19.918000","2026-03-12T17:24:18.526000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","50","","","","","Umm Al Amad","","","","","","Active","121730","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","DSME Q-Flex","","","","","","136685","","","550e8400-e29b-41d4-a716-446655440002","","","9360829","global","","","550e8400-e29b-41d4-a716-446655770041","210200","","697b569b2a72857c481dc4c1","2026-01-29T12:46:19.918000","2026-03-12T17:24:19.091000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550002","50","","","","","Al Huwaila","","","","","","Active","109503","","","","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550002","","","Q-Flex","","","","","","135848","","","550e8400-e29b-41d4-a716-446655440002","","","9360879","global","","","550e8400-e29b-41d4-a716-446655770052","217000","","697b569b2a72857c481dc4c2","2026-01-29T12:46:19.918000","2026-03-12T17:24:19.667000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","285.47","","","","true","2005","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","43.4","","","","","Ummera","","","","","","Active","79460","","","","550e8400-e29b-41d4-a716-446655440004","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","Conventional","","","","","","97496","","","550e8400-e29b-41d4-a716-446655440004","","","9308431","global","","","550e8400-e29b-41d4-a716-446655770067","145000","","697b569b2a72857c481dc4c3","2026-01-29T12:46:19.918000","2026-03-12T17:24:20.395000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345","","","","true","2010","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","45","","","","","Zarga","","","","","","Active","130211","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Max","","","","","","163922","","","550e8400-e29b-41d4-a716-446655440003","","","9431214","global","","","550e8400-e29b-41d4-a716-446655770034","266000","","697b569b2a72857c481dc4c4","2026-01-29T12:46:19.918000","2026-03-12T17:24:21.042000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","294.9","","","","true","2020","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","46.44","","","","","Global Star","","","","","","Active","94732","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440004","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","DSME","","","","","","113822","","","550e8400-e29b-41d4-a716-446655440004","","","9859741","global","","","550e8400-e29b-41d4-a716-446655770027","173400","","697b569b2a72857c481dc4c5","2026-01-29T12:46:19.918000","2026-03-12T17:24:21.948000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","294.2","","","","true","2014","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550003","44","","","","","Maran Gas Delphi","","","","","","Active","89670","","","","550e8400-e29b-41d4-a716-446655440004","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550003","","","Conventional","","","","","","103928","","","550e8400-e29b-41d4-a716-446655440004","","","9633173","global","","","550e8400-e29b-41d4-a716-446655770061","159800","","697b569b2a72857c481dc4c6","2026-01-29T12:46:19.918000","2026-03-12T17:24:22.685000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","50","","","","","Al Aamriya","","","","","","Active","121935","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","DSME Q-Flex","","","","","","136685","","","550e8400-e29b-41d4-a716-446655440002","","","9338266","global","","","550e8400-e29b-41d4-a716-446655770042","210168","","697b569b2a72857c481dc4c7","2026-01-29T12:46:19.918000","2026-03-12T17:24:23.358000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","50","","","","","Al Bahiya","","","","","","Active","121957","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","DSME Q-Flex","","","","","","136980","","","550e8400-e29b-41d4-a716-446655440002","","","9431147","global","","","550e8400-e29b-41d4-a716-446655770035","210100","","697b569b2a72857c481dc4c8","2026-01-29T12:46:19.918000","2026-03-12T17:24:24.009000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315.16","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","50","","","","","Al Rekayyat","","","","","","Active","107160","","","Hyundai Heavy Industries","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","HHI Q-Flex","","","","","","136168","","","550e8400-e29b-41d4-a716-446655440002","","","9397339","global","","","550e8400-e29b-41d4-a716-446655770025","216293","","697b569b2a72857c481dc4c9","2026-01-29T12:46:19.918000","2026-03-12T17:24:24.735000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","50","","","","","Al Oraiq","","","","","","Active","122079","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","DSME Q-Flex","","","","","","136685","","","550e8400-e29b-41d4-a716-446655440002","","","9360790","global","","","550e8400-e29b-41d4-a716-446655770040","210200","","697b569b2a72857c481dc4ca","2026-01-29T12:46:19.918000","2026-03-12T17:24:25.377000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
