isSystem,code,isLocked,sortOrder,tenantId,name,appliesTo,category,isActive,publicId,id,created_date,updated_date,created_by_id,created_by,is_sample
"true","SECURITY","false","1","default-tenant","Security","[""Contact""]","Safety & Security","true","00000000-0000-0000-0001-000000000001","6980a6a0d2020a65ef9ef414","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","EMERGENCY_24_7","false","4","default-tenant","Emergency 24/7","[""Contact""]","Safety & Security","true","00000000-0000-0000-0001-000000000004","6980a6a0d2020a65ef9ef40c","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","VETTING","false","23","default-tenant","Vetting","[""Contact""]","Vessel Registration & Compatibility","true","00000000-0000-0000-0001-000000000023","6980a6a0d2020a65ef9ef41a","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","SCHEDULING","false","13","default-tenant","Scheduling","[""Contact""]","Marine & Operations","true","00000000-0000-0000-0001-000000000013","6980a6a0d2020a65ef9ef40b","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","PRIMARY_CONTACT","false","43","default-tenant","Primary Contact","[""Contact""]","Contact Type / Role","true","00000000-0000-0000-0001-000000000043","6980a6a0d2020a65ef9ef40a","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","DOCUMENTATION_RENEWAL","false","22","default-tenant","Documentation Renewal","[""Contact""]","Vessel Registration & Compatibility","true","00000000-0000-0000-0001-000000000022","6980a6a0d2020a65ef9ef41c","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","SHIP_OWNER_OPERATOR_MANAGER","false","106","default-tenant","Ship Owner, Operator & Manager","[""Company""]","Vessel Management","true","00000000-0000-0000-0001-000000000106","6980a6a0d2020a65ef9ef3ff","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","GROUP_MAILBOX","false","40","default-tenant","Group Mailbox","[""Contact""]","Contact Type / Role","true","00000000-0000-0000-0001-000000000040","6980a6a0d2020a65ef9ef401","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","PORT_AUTHORITY","false","100","default-tenant","Port Authority","[""Company""]","Authority & Compliance","true","00000000-0000-0000-0001-000000000100","6980a6a0d2020a65ef9ef403","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","TERM_OWN_OPE","false","","default-tenant","Terminal Owner or Operator","[""Company""]","Terminal Management","true","e2c42b28-86bf-441a-9113-36821f5d2960","6980a6a0d2020a65ef9ef3fe","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","OPERATIONS","false","10","default-tenant","Operations","[""Contact""]","Marine & Operations","true","00000000-0000-0000-0001-000000000010","6980a6a0d2020a65ef9ef406","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","BACKUP_CONTACT","false","44","default-tenant","Backup Contact","[""Contact""]","Contact Type / Role","true","00000000-0000-0000-0001-000000000044","6980a6a0d2020a65ef9ef407","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","BERTHING_MOORING","false","12","default-tenant","Berthing & Mooring","[""Contact""]","Marine & Operations","true","00000000-0000-0000-0001-000000000012","6980a6a0d2020a65ef9ef41b","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","INCIDENT_REPORTING","false","5","default-tenant","Incident Reporting","[""Contact""]","Safety & Security","true","00000000-0000-0000-0001-000000000005","6980a6a0d2020a65ef9ef409","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","VESSEL_REGISTRATION","false","20","default-tenant","Vessel Registration","[""Contact""]","Vessel Registration & Compatibility","true","00000000-0000-0000-0001-000000000020","6980a6a0d2020a65ef9ef411","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","MARINE_OPERATIONS","false","11","default-tenant","Marine Operations","[""Contact""]","Marine & Operations","true","00000000-0000-0000-0001-000000000011","6980a6a0d2020a65ef9ef415","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","LEGAL","false","33","default-tenant","Legal","[""Contact""]","Commercial & Administration","true","00000000-0000-0000-0001-000000000033","6980a6a0d2020a65ef9ef40e","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","SAFETY","false","2","default-tenant","Safety","[""Contact""]","Safety & Security","true","00000000-0000-0000-0001-000000000002","6980a6a0d2020a65ef9ef410","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","ENVIRONMENTAL","false","104","default-tenant","Environmental Authority","[""Company""]","Authority & Compliance","true","00000000-0000-0000-0001-000000000104","6980a6a0d2020a65ef9ef402","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","CONTROL_ROOM","false","14","default-tenant","Control Room","[""Contact""]","Marine & Operations","true","00000000-0000-0000-0001-000000000014","6980a6a0d2020a65ef9ef413","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","CARGO_OPERATIONS","false","15","default-tenant","Cargo Operations","[""Contact""]","Marine & Operations","true","00000000-0000-0000-0001-000000000015","6980a6a0d2020a65ef9ef416","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
